id,country_id,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
182,182,"18,819",0,147,0,"18,115",0,557,1,"1,620",13,"410,280","35,313"
183,183,"18,491",0,225,0,"4,225",0,"14,041",0,"2,728",33,0,0
184,184,"17,786",0,125,0,"17,264",0,397,0,"1,786",13,0,0
185,185,"17,229",0,183,0,"16,907",0,139,5,"11,512",122,"365,697","244,342"
186,186,"17,181",0,67,0,0,0,0,0,"431,868","1,684","78,646","1,976,875"
187,187,"17,006",0,31,0,"1,605",0,"15,370",0,"84,089",153,"187,397","926,612"
188,188,"16,950",0,13,0,"15,638",0,"1,299",0,"157,310",121,"535,009","4,965,327"
189,189,"16,138",0,17,0,"16,121",0,0,0,"268,711",283,0,0
190,190,"16,038",0,74,0,"15,964",0,0,0,"221,691","1,023","229,344","3,170,187"
191,191,"15,690",0,189,0,"15,427",0,74,0,"15,441",186,"305,941","301,094"
192,192,"15,440",0,113,0,"15,200",0,127,2,"3,078",23,"81,294","16,205"
193,193,"12,626",0,372,0,"12,189",0,65,0,"4,935",145,"155,686","60,851"
194,194,"12,324",0,63,0,0,0,0,0,"310,194","1,586","112,382","2,828,643"
195,195,"12,019",0,14,0,"11,976",0,29,0,"37,346",44,"24,976","77,606"
196,196,"11,971",0,21,0,"2,761",0,"9,189",4,"210,117",369,"164,926","2,894,810"
197,197,"11,945",0,"2,159",0,"9,124",0,662,0,383,69,"329,592","10,579"
198,198,"11,682",0,38,0,"10,476",0,"1,168",0,"438,398","1,426","30,126","1,130,559"
199,199,"11,051",0,92,0,"10,905",0,54,0,"251,353","2,093","62,056","1,411,454"
200,200,"10,189",0,103,0,"10,086",0,0,0,"2,782",28,"23,693","6,470"
201,201,"9,931",0,312,0,"8,890",0,729,1,381,12,"254,538","9,759"
202,202,"9,674",0,124,0,"9,493",0,57,0,"86,723","1,112","114,197","1,023,720"
203,203,"9,614",0,177,0,"8,929",0,508,6,"4,659",86,"145,231","70,385"
204,204,"9,109",0,161,0,"8,939",0,9,0,"10,038",177,0,0
205,205,"9,106",0,146,0,"8,954",0,6,0,"91,509","1,467","18,901","189,943"
